record_id,employee_id,event_id,date,due_date,status,completion_pct,score,feedback_rating,assigned_by
H00001,E0001,EV_002,2026-01-15,,completed,100,,,hr
H00002,E0002,EV_003,2026-01-15,,completed,100,,,hr
H00003,E0003,EV_004,2026-01-15,,completed,100,,,hr
H00004,E0004,EV_001,2026-01-15,,completed,100,,,hr
H00005,E0005,EV_002,2026-01-15,,completed,100,,,hr
H00006,E0006,EV_003,2026-01-15,,completed,100,,,hr
H00007,E0007,EV_004,2026-01-15,,completed,100,,,hr
H00008,E0008,EV_001,2026-01-15,,completed,100,,,hr
H00009,E0009,EV_002,2026-01-15,,completed,100,,,hr
H00010,E0010,EV_003,2026-01-15,,completed,100,,,hr
H00011,E0011,EV_004,2026-01-15,,completed,100,,,hr
H00012,E0012,EV_001,2026-01-15,,completed,100,,,hr
H00013,E0013,EV_002,2026-01-15,,completed,100,,,hr
H00014,E0014,EV_003,2026-01-15,,completed,100,,,hr
H00015,E0015,EV_004,2026-01-15,,completed,100,,,hr
H00016,E0016,EV_001,2026-01-15,,completed,100,,,hr
H00017,E0017,EV_002,2026-01-15,,completed,100,,,hr
H00018,E0018,EV_003,2026-01-15,,completed,100,,,hr
H00019,E0019,EV_004,2026-01-15,,completed,100,,,hr
H00020,E0020,EV_001,2026-01-15,,completed,100,,,hr
H00021,E0021,EV_002,2026-01-15,,completed,100,,,hr
H00022,E0022,EV_003,2026-01-15,,completed,100,,,hr
H00023,E0023,EV_004,2026-01-15,,completed,100,,,hr
H00024,E0024,EV_001,2026-01-15,,completed,100,,,hr
H00025,E0025,EV_002,2026-01-15,,completed,100,,,hr
H00026,E0026,EV_003,2026-01-15,,completed,100,,,hr
H00027,E0027,EV_004,2026-01-15,,completed,100,,,hr
H00028,E0029,EV_002,2026-01-15,,completed,100,,,hr
H00029,E0030,EV_003,2026-01-15,,completed,100,,,hr
H00030,E0031,EV_004,2026-01-15,,completed,100,,,hr
H00031,E0032,EV_001,2026-01-15,,completed,100,,,hr
H00032,E0033,EV_002,2026-01-15,,completed,100,,,hr
H00033,E0034,EV_003,2026-01-15,,completed,100,,,hr
H00034,E0035,EV_004,2026-01-15,,completed,100,,,hr
H00035,E0036,EV_001,2026-01-15,,completed,100,,,hr
H00036,E0037,EV_002,2026-01-15,,completed,100,,,hr
H00037,E0038,EV_003,2026-01-15,,completed,100,,,hr
H00038,E0039,EV_004,2026-01-15,,completed,100,,,hr
H00039,E0040,EV_001,2026-01-15,,completed,100,,,hr
H00040,E0028,EV_006,2026-09-08,,completed,100,90,5,self
H00041,E0028,EV_007,2026-05-01,2026-05-01,no_show,0,,,manager
H00042,E0028,EV_007,2026-06-10,,completed,100,80,4,self
H00043,E0028,EV_009,2026-04-02,,dropped,20,,,manager
H00044,E0028,EV_009,2026-08-05,,dropped,10,,,self
H00045,E0028,EV_010,2026-06-01,,dropped,15,,,manager
